sequence_id,species,label,negative_type,cv_group,split,fold
Ath_P_AT1G01020_1,Ath,1,,CVG008186,all,2
Ath_P_AT1G01070_1,Ath,1,,CVG008187,all,2
Ath_P_AT1G01140_1,Ath,1,,CVG000075,all,0
Ath_P_AT1G01150_1,Ath,1,,CVG000212,all,2
Ath_P_AT1G01230_1,Ath,1,,CVG000172,all,1
Ath_P_AT1G01510_1,Ath,1,,CVG008188,all,2
Ath_P_AT1G01540_1,Ath,1,,CVG008189,all,4
Ath_P_AT1G01630_1,Ath,1,,CVG008190,all,0
Ath_P_AT1G01670_1,Ath,1,,CVG001935,all,0
Ath_P_AT1G01760_1,Ath,1,,CVG001936,all,2
Ath_P_AT1G02070_1,Ath,1,,CVG001937,all,2
Ath_P_AT1G02074_1,Ath,1,,CVG001938,all,4
Ath_P_AT1G02100_1,Ath,1,,CVG008191,all,0
Ath_P_AT1G02145_1,Ath,1,,CVG001939,all,4
Ath_P_AT1G02170_1,Ath,1,,CVG001940,all,0
Ath_P_AT1G02190_1,Ath,1,,CVG008192,all,1
Ath_P_AT1G02205_1,Ath,1,,CVG001941,all,1
Ath_P_AT1G02270_1,Ath,1,,CVG001942,all,2
Ath_P_AT1G02280_1,Ath,1,,CVG001943,all,4
Ath_P_AT1G02290_1,Ath,1,,CVG000077,all,2
Ath_P_AT1G02305_1,Ath,1,,CVG008193,all,3
Ath_P_AT1G02310_1,Ath,1,,CVG001944,all,0
Ath_P_AT1G02340_1,Ath,1,,CVG008194,all,3
Ath_P_AT1G02390_1,Ath,1,,CVG001945,all,1
Ath_P_AT1G02400_1,Ath,1,,CVG000508,all,3
Ath_P_AT1G02500_1,Ath,1,,CVG001946,all,3
Ath_P_AT1G02530_1,Ath,1,,CVG001947,all,3
Ath_P_AT1G02575_1,Ath,1,,CVG001948,all,3
Ath_P_AT1G02610_1,Ath,1,,CVG008195,all,2
Ath_P_AT1G02650_1,Ath,1,,CVG008196,all,3
Ath_P_AT1G02700_1,Ath,1,,CVG001949,all,1
Ath_P_AT1G02740_1,Ath,1,,CVG001950,all,3
Ath_P_AT1G02770_1,Ath,1,,CVG001951,all,3
Ath_P_AT1G02810_1,Ath,1,,CVG008197,all,1
Ath_P_AT1G03070_1,Ath,1,,CVG000977,all,4
Ath_P_AT1G03120_1,Ath,1,,CVG001952,all,4
Ath_P_AT1G03170_1,Ath,1,,CVG008198,all,4
Ath_P_AT1G03190_1,Ath,1,,CVG001953,all,0
Ath_P_AT1G03310_1,Ath,1,,CVG008199,all,3
Ath_P_AT1G03320_1,Ath,1,,CVG008200,all,2
Ath_P_AT1G03350_1,Ath,1,,CVG001954,all,4
Ath_P_AT1G03360_1,Ath,1,,CVG001954,all,4
Ath_P_AT1G03410_1,Ath,1,,CVG008201,all,0
Ath_P_AT1G03457_1,Ath,1,,CVG001955,all,2
Ath_P_AT1G03540_1,Ath,1,,CVG008202,all,2
Ath_P_AT1G03550_1,Ath,1,,CVG001956,all,4
Ath_P_AT1G03680_1,Ath,1,,CVG008203,all,4
Ath_P_AT1G03687_1,Ath,1,,CVG007651,all,3
Ath_P_AT1G03750_1,Ath,1,,CVG008204,all,4
Ath_P_AT1G03760_1,Ath,1,,CVG008205,all,4
Ath_P_AT1G03790_1,Ath,1,,CVG008206,all,4
Ath_P_AT1G03850_1,Ath,1,,CVG001957,all,1
Ath_P_AT1G04040_1,Ath,1,,CVG008207,all,0
Ath_P_AT1G04200_1,Ath,1,,CVG001958,all,1
Ath_P_AT1G04330_1,Ath,1,,CVG008208,all,2
Ath_P_AT1G04380_1,Ath,1,,CVG008209,all,4
Ath_P_AT1G04445_1,Ath,1,,CVG001959,all,0
Ath_P_AT1G04490_1,Ath,1,,CVG000391,all,3
Ath_P_AT1G04630_1,Ath,1,,CVG001960,all,2
Ath_P_AT1G04690_1,Ath,1,,CVG007643,all,1
Ath_P_AT1G04778_1,Ath,1,,CVG008210,all,4
Ath_P_AT1G04780_1,Ath,1,,CVG008211,all,0
Ath_P_AT1G04840_1,Ath,1,,CVG008212,all,4
Ath_P_AT1G04880_1,Ath,1,,CVG000783,all,2
Ath_P_AT1G04920_1,Ath,1,,CVG008213,all,3
Ath_P_AT1G04985_1,Ath,1,,CVG001961,all,4
Ath_P_AT1G05000_1,Ath,1,,CVG001962,all,1
Ath_P_AT1G05100_1,Ath,1,,CVG001963,all,3
Ath_P_AT1G05205_1,Ath,1,,CVG001964,all,3
Ath_P_AT1G05220_1,Ath,1,,CVG001965,all,0
Ath_P_AT1G05360_1,Ath,1,,CVG008214,all,3
Ath_P_AT1G05420_1,Ath,1,,CVG007501,all,3
Ath_P_AT1G05430_1,Ath,1,,CVG001966,all,1
Ath_P_AT1G05440_1,Ath,1,,CVG001967,all,2
Ath_P_AT1G05460_1,Ath,1,,CVG001968,all,0
Ath_P_AT1G05490_1,Ath,1,,CVG001969,all,4
Ath_P_AT1G05575_1,Ath,1,,CVG008215,all,1
Ath_P_AT1G05640_1,Ath,1,,CVG008216,all,0
Ath_P_AT1G05650_1,Ath,1,,CVG000137,all,4
Ath_P_AT1G05670_1,Ath,1,,CVG008217,all,0
Ath_P_AT1G05680_1,Ath,1,,CVG001970,all,2
Ath_P_AT1G05700_1,Ath,1,,CVG000527,all,0
Ath_P_AT1G05850_1,Ath,1,,CVG001971,all,1
Ath_P_AT1G05870_1,Ath,1,,CVG001972,all,2
Ath_P_AT1G05894_1,Ath,1,,CVG008218,all,4
Ath_P_AT1G05940_1,Ath,1,,CVG001973,all,0
Ath_P_AT1G05950_1,Ath,1,,CVG008219,all,2
Ath_P_AT1G05990_1,Ath,1,,CVG008220,all,4
Ath_P_AT1G06050_1,Ath,1,,CVG000550,all,1
Ath_P_AT1G06060_1,Ath,1,,CVG001974,all,3
Ath_P_AT1G06070_1,Ath,1,,CVG001975,all,2
Ath_P_AT1G06190_1,Ath,1,,CVG008221,all,0
Ath_P_AT1G06200_1,Ath,1,,CVG000520,all,3
Ath_P_AT1G06220_1,Ath,1,,CVG001976,all,3
Ath_P_AT1G06240_1,Ath,1,,CVG008222,all,1
Ath_P_AT1G06270_1,Ath,1,,CVG001977,all,3
Ath_P_AT1G06340_1,Ath,1,,CVG008223,all,1
Ath_P_AT1G06350_1,Ath,1,,CVG001978,all,4
Ath_P_AT1G06390_1,Ath,1,,CVG000293,all,0
Ath_P_AT1G06430_1,Ath,1,,CVG008224,all,2
Ath_P_AT1G06460_1,Ath,1,,CVG008225,all,3
Ath_P_AT1G06500_1,Ath,1,,CVG008226,all,4
Ath_P_AT1G06660_1,Ath,1,,CVG001979,all,0
Ath_P_AT1G06750_1,Ath,1,,CVG001980,all,0
Ath_P_AT1G06990_1,Ath,1,,CVG001981,all,0
Ath_P_AT1G07070_1,Ath,1,,CVG001982,all,0
Ath_P_AT1G07160_1,Ath,1,,CVG008227,all,0
Ath_P_AT1G07220_1,Ath,1,,CVG001983,all,4
Ath_P_AT1G07330_1,Ath,1,,CVG008228,all,3
Ath_P_AT1G07360_1,Ath,1,,CVG001984,all,2
Ath_P_AT1G07370_1,Ath,1,,CVG008229,all,0
Ath_P_AT1G07510_1,Ath,1,,CVG001985,all,4
Ath_P_AT1G07610_1,Ath,1,,CVG008230,all,1
Ath_P_AT1G07620_1,Ath,1,,CVG000426,all,4
Ath_P_AT1G07660_1,Ath,1,,CVG008231,all,2
Ath_P_AT1G07670_1,Ath,1,,CVG008232,all,1
Ath_P_AT1G07680_1,Ath,1,,CVG001986,all,4
Ath_P_AT1G07690_1,Ath,1,,CVG001987,all,3
Ath_P_AT1G07750_1,Ath,1,,CVG008233,all,4
Ath_P_AT1G07880_1,Ath,1,,CVG008234,all,1
Ath_P_AT1G07885_1,Ath,1,,CVG001988,all,1
Ath_P_AT1G07890_1,Ath,1,,CVG008235,all,3
Ath_P_AT1G07940_1,Ath,1,,CVG008236,all,0
Ath_P_AT1G07980_1,Ath,1,,CVG000534,all,0
Ath_P_AT1G08030_1,Ath,1,,CVG008237,all,3
Ath_P_AT1G08070_1,Ath,1,,CVG008238,all,1
Ath_P_AT1G08080_1,Ath,1,,CVG008239,all,0
Ath_P_AT1G08135_1,Ath,1,,CVG000246,all,4
Ath_P_AT1G08250_1,Ath,1,,CVG001989,all,4
Ath_P_AT1G08290_1,Ath,1,,CVG000164,all,3
Ath_P_AT1G08300_1,Ath,1,,CVG001990,all,2
Ath_P_AT1G08315_1,Ath,1,,CVG008240,all,2
Ath_P_AT1G08360_1,Ath,1,,CVG008241,all,2
Ath_P_AT1G08500_1,Ath,1,,CVG001991,all,0
Ath_P_AT1G08520_1,Ath,1,,CVG008242,all,2
Ath_P_AT1G08570_1,Ath,1,,CVG008243,all,1
Ath_P_AT1G08610_1,Ath,1,,CVG008244,all,3
Ath_P_AT1G08620_1,Ath,1,,CVG000457,all,2
Ath_P_AT1G08670_1,Ath,1,,CVG008245,all,4
Ath_P_AT1G08750_1,Ath,1,,CVG001992,all,1
Ath_P_AT1G08830_1,Ath,1,,CVG001993,all,2
Ath_P_AT1G08920_1,Ath,1,,CVG008246,all,3
Ath_P_AT1G09000_1,Ath,1,,CVG001994,all,4
Ath_P_AT1G09010_1,Ath,1,,CVG001995,all,1
Ath_P_AT1G09060_1,Ath,1,,CVG001996,all,0
Ath_P_AT1G09070_1,Ath,1,,CVG001997,all,1
Ath_P_AT1G09100_1,Ath,1,,CVG000449,all,3
Ath_P_AT1G09130_1,Ath,1,,CVG001998,all,1
Ath_P_AT1G09176_1,Ath,1,,CVG008247,all,1
Ath_P_AT1G09250_1,Ath,1,,CVG001999,all,2
Ath_P_AT1G09310_1,Ath,1,,CVG002000,all,2
Ath_P_AT1G09320_1,Ath,1,,CVG008248,all,2
Ath_P_AT1G09460_1,Ath,1,,CVG008249,all,0
Ath_P_AT1G09483_1,Ath,1,,CVG002001,all,3
Ath_P_AT1G09520_1,Ath,1,,CVG008250,all,4
Ath_P_AT1G09590_1,Ath,1,,CVG002002,all,0
Ath_P_AT1G09660_1,Ath,1,,CVG000024,all,3
Ath_P_AT1G09750_1,Ath,1,,CVG008251,all,1
Ath_P_AT1G09770_1,Ath,1,,CVG008252,all,0
Ath_P_AT1G09850_1,Ath,1,,CVG008253,all,3
Ath_P_AT1G09960_1,Ath,1,,CVG008254,all,2
Ath_P_AT1G09995_1,Ath,1,,CVG001010,all,1
Ath_P_AT1G10000_1,Ath,1,,CVG002003,all,4
Ath_P_AT1G10050_1,Ath,1,,CVG008255,all,1
Ath_P_AT1G10110_1,Ath,1,,CVG002004,all,1
Ath_P_AT1G10200_1,Ath,1,,CVG002005,all,3
Ath_P_AT1G10230_1,Ath,1,,CVG002006,all,1
Ath_P_AT1G10240_1,Ath,1,,CVG002007,all,3
Ath_P_AT1G10270_1,Ath,1,,CVG000510,all,1
Ath_P_AT1G10350_1,Ath,1,,CVG002008,all,0
Ath_P_AT1G10370_1,Ath,1,,CVG002009,all,2
Ath_P_AT1G10390_1,Ath,1,,CVG008256,all,1
Ath_P_AT1G10410_1,Ath,1,,CVG008257,all,1
Ath_P_AT1G10450_1,Ath,1,,CVG002010,all,3
Ath_P_AT1G10480_1,Ath,1,,CVG002011,all,0
Ath_P_AT1G10522_1,Ath,1,,CVG008258,all,3
Ath_P_AT1G10580_1,Ath,1,,CVG000371,all,4
Ath_P_AT1G10586_1,Ath,1,,CVG002012,all,0
Ath_P_AT1G10600_1,Ath,1,,CVG002013,all,3
Ath_P_AT1G10640_1,Ath,1,,CVG008259,all,3
Ath_P_AT1G10745_1,Ath,1,,CVG008260,all,4
Ath_P_AT1G10810_1,Ath,1,,CVG002014,all,2
Ath_P_AT1G10820_1,Ath,1,,CVG000622,all,4
Ath_P_AT1G10990_1,Ath,1,,CVG002015,all,4
Ath_P_AT1G11040_1,Ath,1,,CVG002016,all,3
Ath_P_AT1G11060_1,Ath,1,,CVG008261,all,0
Ath_P_AT1G11070_1,Ath,1,,CVG002017,all,4
Ath_P_AT1G11112_1,Ath,1,,CVG002018,all,0
Ath_P_AT1G11125_1,Ath,1,,CVG002019,all,3
Ath_P_AT1G11130_1,Ath,1,,CVG002020,all,1
Ath_P_AT1G11180_1,Ath,1,,CVG002021,all,0
Ath_P_AT1G11190_1,Ath,1,,CVG000409,all,2
Ath_P_AT1G11200_1,Ath,1,,CVG000578,all,4
Ath_P_AT1G11250_1,Ath,1,,CVG002022,all,4
Ath_P_AT1G11350_1,Ath,1,,CVG008262,all,1
Ath_P_AT1G11360_1,Ath,1,,CVG002023,all,0
Ath_P_AT1G11390_1,Ath,1,,CVG008263,all,0
Ath_P_AT1G11400_1,Ath,1,,CVG008264,all,0
Ath_P_AT1G11475_1,Ath,1,,CVG008265,all,2
Ath_P_AT1G11600_1,Ath,1,,CVG008266,all,3
Ath_P_AT1G11610_1,Ath,1,,CVG002024,all,2
Ath_P_AT1G11700_1,Ath,1,,CVG008267,all,4
Ath_P_AT1G11730_1,Ath,1,,CVG008268,all,3
Ath_P_AT1G11850_1,Ath,1,,CVG002025,all,1
Ath_P_AT1G11915_1,Ath,1,,CVG002026,all,2
Ath_P_AT1G11940_1,Ath,1,,CVG002027,all,3
Ath_P_AT1G11960_1,Ath,1,,CVG002028,all,3
Ath_P_AT1G11990_1,Ath,1,,CVG008269,all,3
Ath_P_AT1G12000_1,Ath,1,,CVG002029,all,1
Ath_P_AT1G12064_1,Ath,1,,CVG002030,all,1
Ath_P_AT1G12110_1,Ath,1,,CVG000115,all,0
Ath_P_AT1G12240_1,Ath,1,,CVG008270,all,2
Ath_P_AT1G12350_1,Ath,1,,CVG002031,all,4
Ath_P_AT1G12430_1,Ath,1,,CVG008271,all,0
Ath_P_AT1G12440_1,Ath,1,,CVG007554,all,3
Ath_P_AT1G12490_1,Ath,1,,CVG002032,all,1
Ath_P_AT1G12610_1,Ath,1,,CVG008272,all,1
Ath_P_AT1G12740_1,Ath,1,,CVG002033,all,1
Ath_P_AT1G12805_1,Ath,1,,CVG008273,all,2
Ath_P_AT1G12810_1,Ath,1,,CVG002034,all,0
Ath_P_AT1G12880_1,Ath,1,,CVG002035,all,3
Ath_P_AT1G12910_1,Ath,1,,CVG008274,all,1
Ath_P_AT1G12980_1,Ath,1,,CVG008275,all,0
Ath_P_AT1G13060_1,Ath,1,,CVG002036,all,2
Ath_P_AT1G13190_1,Ath,1,,CVG008276,all,4
Ath_P_AT1G13220_1,Ath,1,,CVG000443,all,1
Ath_P_AT1G13230_1,Ath,1,,CVG002037,all,2
Ath_P_AT1G13245_1,Ath,1,,CVG002038,all,2
Ath_P_AT1G13310_1,Ath,1,,CVG002039,all,4
Ath_P_AT1G13390_1,Ath,1,,CVG002040,all,3
Ath_P_AT1G13490_1,Ath,1,,CVG000711,all,4
Ath_P_AT1G13500_1,Ath,1,,CVG002041,all,0
Ath_P_AT1G13560_1,Ath,1,,CVG002042,all,0
Ath_P_AT1G13570_1,Ath,1,,CVG000980,all,1
Ath_P_AT1G13630_1,Ath,1,,CVG000881,all,3
Ath_P_AT1G13640_1,Ath,1,,CVG002043,all,3
Ath_P_AT1G13800_1,Ath,1,,CVG000066,all,1
Ath_P_AT1G13880_1,Ath,1,,CVG008277,all,0
Ath_P_AT1G13900_1,Ath,1,,CVG001099,all,1
Ath_P_AT1G13940_1,Ath,1,,CVG000826,all,0
Ath_P_AT1G13960_1,Ath,1,,CVG008278,all,3
Ath_P_AT1G13970_1,Ath,1,,CVG001080,all,0
Ath_P_AT1G13990_1,Ath,1,,CVG008279,all,3
Ath_P_AT1G14010_1,Ath,1,,CVG002044,all,2
Ath_P_AT1G14030_1,Ath,1,,CVG008280,all,4
Ath_P_AT1G14140_1,Ath,1,,CVG000304,all,3
Ath_P_AT1G14180_1,Ath,1,,CVG008281,all,1
Ath_P_AT1G14205_1,Ath,1,,CVG008282,all,1
Ath_P_AT1G14270_1,Ath,1,,CVG008283,all,0
Ath_P_AT1G14350_1,Ath,1,,CVG002045,all,2
Ath_P_AT1G14360_1,Ath,1,,CVG002046,all,2
Ath_P_AT1G14390_1,Ath,1,,CVG002047,all,4
Ath_P_AT1G14430_1,Ath,1,,CVG008284,all,2
Ath_P_AT1G14455_1,Ath,1,,CVG008285,all,0
Ath_P_AT1G14530_1,Ath,1,,CVG008286,all,3
Ath_P_AT1G14690_1,Ath,1,,CVG008287,all,3
Ath_P_AT1G14710_1,Ath,1,,CVG007624,all,1
Ath_P_AT1G14740_1,Ath,1,,CVG008288,all,4
Ath_P_AT1G14750_1,Ath,1,,CVG002048,all,1
Ath_P_AT1G14830_1,Ath,1,,CVG008289,all,1
Ath_P_AT1G14840_1,Ath,1,,CVG002049,all,1
Ath_P_AT1G14950_1,Ath,1,,CVG008290,all,1
Ath_P_AT1G15020_1,Ath,1,,CVG008291,all,2
Ath_P_AT1G15040_1,Ath,1,,CVG008292,all,3
Ath_P_AT1G15050_1,Ath,1,,CVG008293,all,4
Ath_P_AT1G15100_1,Ath,1,,CVG002050,all,4
Ath_P_AT1G15110_1,Ath,1,,CVG008294,all,2
Ath_P_AT1G15130_1,Ath,1,,CVG008295,all,0
Ath_P_AT1G15140_1,Ath,1,,CVG008296,all,4
Ath_P_AT1G15310_1,Ath,1,,CVG008297,all,0
Ath_P_AT1G15330_1,Ath,1,,CVG002051,all,2
Ath_P_AT1G15370_1,Ath,1,,CVG000979,all,1
Ath_P_AT1G15390_1,Ath,1,,CVG008298,all,2
Ath_P_AT1G15440_1,Ath,1,,CVG008299,all,1
Ath_P_AT1G15460_1,Ath,1,,CVG002052,all,2
Ath_P_AT1G15480_1,Ath,1,,CVG002053,all,0
Ath_P_AT1G15500_1,Ath,1,,CVG000900,all,4
Ath_P_AT1G15510_1,Ath,1,,CVG008300,all,2
Ath_P_AT1G15570_1,Ath,1,,CVG002054,all,1
Ath_P_AT1G15700_1,Ath,1,,CVG002055,all,4
Ath_P_AT1G15780_1,Ath,1,,CVG002056,all,3
Ath_P_AT1G15800_1,Ath,1,,CVG002057,all,1
Ath_P_AT1G15830_1,Ath,1,,CVG002058,all,3
Ath_P_AT1G15940_1,Ath,1,,CVG002059,all,0
Ath_P_AT1G16030_1,Ath,1,,CVG002060,all,3
Ath_P_AT1G16120_1,Ath,1,,CVG002061,all,4
Ath_P_AT1G16180_1,Ath,1,,CVG002062,all,0
Ath_P_AT1G16250_1,Ath,1,,CVG008301,all,3
Ath_P_AT1G16260_1,Ath,1,,CVG002063,all,0
Ath_P_AT1G16280_1,Ath,1,,CVG008302,all,4
Ath_P_AT1G16300_1,Ath,1,,CVG002064,all,2
Ath_P_AT1G16390_1,Ath,1,,CVG002065,all,3
Ath_P_AT1G16460_1,Ath,1,,CVG002066,all,1
Ath_P_AT1G16590_1,Ath,1,,CVG008303,all,4
